"doc_index","content_type","style_name","text","level","num_id"
1,"paragraph",NA,"",NA,NA
2,"paragraph",NA,"Machine generated time-coded transcript of Justice Committee proceedings, and submissions on oral submissions on Treaty Principles Bill",NA,NA
3,"paragraph",NA,"Original video at https://vimeo.com/1050592185, and is just over four hours long. ",NA,NA
4,"paragraph",NA,"27 January 2025",NA,NA
5,"paragraph",NA,"",NA,NA
6,"paragraph",NA,"00:00-00:19",NA,NA
7,"paragraph",NA,"It's okay.",NA,NA
8,"paragraph",NA,"",NA,NA
9,"paragraph",NA,"",NA,NA
10,"paragraph",NA,"00:30-00:36",NA,NA
11,"paragraph",NA,"Good afternoon. Hopefully I've got Jill and Dr Higgins with me. Thank you for joining",NA,NA
12,"paragraph",NA,"",NA,NA
13,"paragraph",NA,"",NA,NA
14,"paragraph",NA,"00:36-00:39",NA,NA
15,"paragraph",NA,"the committee. We've got you for 10 minutes this afternoon, so I'll hand over to you to",NA,NA
16,"paragraph",NA,"",NA,NA
17,"paragraph",NA,"",NA,NA
18,"paragraph",NA,"00:39-00:46",NA,NA
19,"paragraph",NA,"present your submission. Tēnā koutou e hiuhi maine i tēnē ra, and I hope that you can",NA,NA
20,"paragraph",NA,"",NA,NA
21,"paragraph",NA,"",NA,NA
22,"paragraph",NA,"00:46-00:53",NA,NA
23,"paragraph",NA,"hear us both. Yes, we can. Ko Jill Hawke toku ingoa, I'm the Executive Director at the",NA,NA
24,"paragraph",NA,"",NA,NA
25,"paragraph",NA,"",NA,NA
26,"paragraph",NA,"00:53-00:58",NA,NA
27,"paragraph",NA,"Christchurch Methodist Mission. Ko Jane Higgins toku ingoa, I'm the Strategic Advisor at the",NA,NA
28,"paragraph",NA,"",NA,NA
29,"paragraph",NA,"",NA,NA
30,"paragraph",NA,"00:58-01:05",NA,NA
31,"paragraph",NA,"So the Christchurch Methodist Mission is a social service organisation of Te Hahi Wetiriana",NA,NA
32,"paragraph",NA,"",NA,NA
33,"paragraph",NA,"",NA,NA
34,"paragraph",NA,"01:06-01:13",NA,NA
35,"paragraph",NA,"o Aotearoa, the Methodist Church of New Zealand, and we operate in Canterbury, Nelson, Marlborough",NA,NA
36,"paragraph",NA,"",NA,NA
37,"paragraph",NA,"",NA,NA
38,"paragraph",NA,"01:13-01:20",NA,NA
39,"paragraph",NA,"and the West Coast. So why do we have an interest in this bill? Well the early Wesleyan Church",NA,NA
40,"paragraph",NA,"",NA,NA
41,"paragraph",NA,"",NA,NA
42,"paragraph",NA,"01:20-01:24",NA,NA
43,"paragraph",NA,"actively supported and promoted Te Tiriti o Waitangi.",NA,NA
44,"paragraph",NA,"",NA,NA
45,"paragraph",NA,"",NA,NA
46,"paragraph",NA,"01:25-01:28",NA,NA
